Seed,FinalEntityCount,MaxEntityCount,StepsRun,ExecutionTime(ms),AverageAge,AverageEnergy,AvgSpeed,AvgMass,AvgEnergyEfficiency,AvgSightRange,AvgMetabolismRate,AvgReproductionThreshold,GRASSCount,MOUNTAINCount,FORESTCount,DESERTCount,TUNDRACount,SWAMPCount,OCEANCount,VOLCANICCount
6607880312704654263,0,2,195,1136,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1467627667714000235,0,2,303,1071,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5320845898528765026,0,3,497,1320,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6502557194876437779,0,1,105,43,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-9171361133157476848,0,1,290,995,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-3183471791053821520,0,1,93,479,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7777451866172370565,0,1,18,49,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1916499173585100924,0,2,336,1161,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2433632090515977004,0,1,59,103,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8184637542253928440,0,2,106,51,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-4774798354143770559,0,1,81,372,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3285978470201472489,0,1,18,45,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2936893365974182769,0,1,20,240,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2509481182885376552,0,2,148,832,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
