Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,3,27,WÜSTE,1.542,1.526,1.449,51.11,7,1,same,ca_detail_1762512270723
2000,3,28,WÜSTE,1.542,1.526,1.078,19.03,11,1,same,ca_detail_1762512270723
2000,3,29,OZEAN,0.709,1.564,2.0,200.0,600,1,same,ca_detail_1762512270723
2000,3,30,WÜSTE,0.5,2.0,2.0,31.8,11,1,same,ca_detail_1762512270723
2000,3,31,OZEAN,1.054,2.0,1.568,71.05,20,1,same,ca_detail_1762512270723
2000,3,32,TUNDRA,0.5,2.0,2.0,93.32,78,1,same,ca_detail_1762512270723
2000,3,33,WALD,0.655,2.0,0.683,200.0,1943,1,same,ca_detail_1762512270723
2000,3,34,GRASLAND,0.5,1.747,1.017,200.0,1064,1,same,ca_detail_1762512270723
2000,3,35,TUNDRA,0.92,2.0,1.541,152.57,749,1,same,ca_detail_1762512270723
2000,3,36,SUMPF,1.223,2.0,1.086,200.0,344,1,same,ca_detail_1762512270723
2000,3,37,VULKAN,0.674,1.215,1.13,100.0,0,1,same,ca_detail_1762512270723
2000,3,38,WALD,1.348,2.0,0.649,200.0,680,1,same,ca_detail_1762512270723
2000,3,39,VULKAN,0.536,2.0,1.13,2.2,144,1,same,ca_detail_1762512270723
2000,3,40,OZEAN,1.944,2.0,0.638,200.0,458,1,same,ca_detail_1762512270723
2000,3,41,WÜSTE,0.885,2.0,0.5,93.8,1,1,same,ca_detail_1762512270723
2000,3,42,WALD,0.757,2.0,0.5,168.17,29,1,same,ca_detail_1762512270723
2000,3,43,VULKAN,0.757,2.0,0.5,14.0,10,1,same,ca_detail_1762512270723
2000,3,44,GRASLAND,1.831,1.973,1.696,200.0,122,1,same,ca_detail_1762512270723
2000,3,45,WÜSTE,1.831,2.0,1.696,113.15,156,1,same,ca_detail_1762512270723
2000,3,46,GRASLAND,1.503,2.0,0.5,200.0,314,1,same,ca_detail_1762512270723
2000,3,47,SUMPF,1.038,2.0,0.5,200.0,541,1,same,ca_detail_1762512270723
2000,3,48,GEBIRGE,0.816,2.0,0.655,200.0,346,1,same,ca_detail_1762512270723
2000,3,49,WÜSTE,1.831,2.0,1.696,186.84,170,1,same,ca_detail_1762512270723
2000,4,0,WÜSTE,1.194,2.0,2.0,5.9,19,1,same,ca_detail_1762512270723
2000,4,1,TUNDRA,1.194,2.0,1.926,25.66,56,1,same,ca_detail_1762512270723
2000,4,2,VULKAN,1.194,2.0,2.0,57.0,5,1,same,ca_detail_1762512270723
2000,4,3,VULKAN,0.5,1.633,1.617,53.67,5,1,same,ca_detail_1762512270723
