Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
0.715,1.992,1.715,200.0,211,OZEAN,same
0.715,2.0,1.157,104.89,118,GEBIRGE,same
0.709,1.666,1.715,200.0,440,SUMPF,same
0.5,2.0,2.0,98.89,48,TUNDRA,same
0.865,1.562,0.972,200.0,324,OZEAN,same
0.865,1.562,0.972,200.0,316,OZEAN,same
0.78,2.0,1.138,200.0,106,OZEAN,same
0.865,1.562,0.968,200.0,249,SUMPF,same
1.223,2.0,1.086,200.0,174,OZEAN,same
1.223,1.864,1.086,34.96,42,TUNDRA,same
1.223,1.864,1.313,64.65,4,VULKAN,same
1.204,2.0,0.5,200.0,426,GEBIRGE,same
0.757,2.0,0.715,200.0,96,WALD,same
0.777,2.0,2.0,200.0,699,WALD,same
0.991,2.0,0.531,80.54,118,GEBIRGE,same
0.938,1.261,0.706,200.0,249,GRASLAND,same
0.757,2.0,0.968,200.0,447,GEBIRGE,same
0.513,2.0,0.655,200.0,190,WALD,same
0.677,2.0,2.0,168.04,29,WALD,same
0.677,2.0,2.0,107.36,65,GEBIRGE,same
0.728,1.936,1.741,200.0,1202,GEBIRGE,same
0.816,1.815,0.655,200.0,347,SUMPF,same
0.5,1.901,0.948,200.0,650,GEBIRGE,same
1.194,2.0,2.0,200.0,36,OZEAN,same
1.194,2.0,2.0,50.47,10,WÜSTE,same
0.543,1.633,1.611,35.14,7,VULKAN,same
1.104,1.223,1.655,103.25,123,SUMPF,same
1.194,2.0,2.0,114.0,247,VULKAN,same
1.073,2.0,1.824,158.85,564,TUNDRA,same
1.324,2.0,1.634,200.0,365,SUMPF,same
0.996,2.0,1.691,200.0,522,GRASLAND,same
1.709,2.0,0.897,66.6,41,TUNDRA,same
1.854,2.0,0.897,200.0,151,GRASLAND,same
0.5,2.0,1.305,200.0,774,GEBIRGE,same
1.854,1.418,0.743,161.23,6,GRASLAND,same
0.884,2.0,0.606,59.55,1533,TUNDRA,same
1.854,2.0,0.897,180.59,4,WALD,same
0.523,2.0,1.481,185.51,530,TUNDRA,same
0.5,2.0,1.402,96.8,238,VULKAN,same
0.5,2.0,1.402,200.0,273,WALD,same
0.601,2.0,1.988,199.32,779,TUNDRA,same
0.5,1.998,2.0,200.0,408,SUMPF,same
0.5,2.0,2.0,200.0,345,OZEAN,same
1.8,1.313,1.303,24.3,14,TUNDRA,same
2.0,1.313,1.303,13.72,13,WÜSTE,same
0.501,1.698,1.763,36.02,29,TUNDRA,same
0.618,1.374,1.787,90.55,2,TUNDRA,same
0.543,1.811,1.715,200.0,182,WALD,same
0.695,2.0,0.7,200.0,731,GRASLAND,same
0.543,1.811,1.363,200.0,51,WALD,same
0.543,1.468,1.715,21.2,306,GEBIRGE,same
0.715,2.0,1.157,74.2,3,VULKAN,same
0.715,2.0,1.157,150.0,112,WALD,same
0.865,2.0,1.878,64.85,337,TUNDRA,same
0.5,2.0,2.0,88.27,137,TUNDRA,same
0.877,1.562,0.705,200.0,310,GRASLAND,same
0.78,2.0,1.138,148.98,26,GEBIRGE,same
0.636,2.0,1.627,20.2,701,WÜSTE,same
1.38,2.0,0.5,200.0,480,GEBIRGE,same
1.204,2.0,0.5,200.0,298,GEBIRGE,same
1.204,2.0,0.668,200.0,243,SUMPF,same
0.757,2.0,0.976,57.0,5,VULKAN,same
0.757,2.0,0.715,113.05,120,SUMPF,same
0.757,2.0,0.715,200.0,198,GRASLAND,same
0.5,2.0,1.026,200.0,1790,OZEAN,same
0.991,1.902,0.531,22.17,12,WÜSTE,same
0.938,1.261,0.706,150.99,170,OZEAN,same
0.677,2.0,2.0,93.88,1,WÜSTE,same
0.677,1.977,2.0,68.75,5,WÜSTE,same
0.5,2.0,0.655,200.0,324,GEBIRGE,same
0.685,2.0,1.225,13.2,14,WÜSTE,same
0.677,2.0,1.818,200.0,146,WALD,same
0.587,2.0,1.818,171.43,49,GEBIRGE,same
0.677,1.738,1.368,200.0,242,GRASLAND,same
1.194,2.0,1.655,12.28,184,WÜSTE,same
1.194,2.0,2.0,10.85,18,WÜSTE,same
1.194,2.0,1.655,31.2,8,VULKAN,same
1.194,2.0,1.655,28.97,14,WÜSTE,same
1.324,2.0,1.569,200.0,325,GEBIRGE,same
0.758,2.0,1.286,200.0,1369,SUMPF,same
1.961,2.0,0.897,200.0,122,SUMPF,same
1.961,1.966,0.897,77.31,24,TUNDRA,same
