Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,35,31,SUMPF,0.642,1.802,0.946,200.0,287,1,seed,ca_detail_1762512483895
1600,36,44,VULKAN,0.5,1.408,2.0,51.34,5,1,steps,ca_detail_1762512804294
800,17,43,WÜSTE,0.64,2.0,1.055,62.8,6,1,steps,ca_detail_1762512767599
2000,34,7,OZEAN,1.183,1.672,1.176,200.0,854,1,population,ca_detail_1762513249309-pop1250
2000,34,43,TUNDRA,0.784,2.0,1.27,56.13,89,1,population,ca_detail_1762513065927-pop50
400,36,38,GEBIRGE,0.579,2.0,0.636,200.0,286,1,steps,ca_detail_1762512748570
2000,32,6,SUMPF,0.97,1.927,1.544,200.0,87,1,same,ca_detail_1762512270723
2000,16,11,TUNDRA,0.5,1.259,1.65,59.86,7,1,steps,ca_detail_1762512849242
2000,32,32,VULKAN,1.202,2.0,0.689,14.0,10,1,same,ca_detail_1762512346105
2000,13,36,GEBIRGE,2.0,2.0,0.682,200.0,303,1,seed,ca_detail_1762512624538
1600,41,10,GRASLAND,0.799,1.787,1.333,114.04,1,1,steps,ca_detail_1762512804294
2000,44,3,GEBIRGE,2.0,1.374,1.346,177.37,240,1,population,ca_detail_1762513249309-pop1250
2000,21,33,SUMPF,0.53,2.0,1.532,200.0,364,1,population,ca_detail_1762512974066-pop1
1600,27,30,OZEAN,1.032,2.0,0.58,200.0,58,1,steps,ca_detail_1762512804294
2000,22,41,GEBIRGE,1.126,2.0,1.259,200.0,524,1,seed,ca_detail_1762512598970
2000,45,0,OZEAN,1.024,1.751,0.995,200.0,301,1,same,ca_detail_1762512370832
2000,32,23,GRASLAND,0.945,2.0,1.146,200.0,750,1,seed,ca_detail_1762512570763
2000,2,47,TUNDRA,2.0,2.0,1.696,53.63,122,1,same,ca_detail_1762512270723
2000,17,46,TUNDRA,1.416,2.0,1.374,11.49,167,1,population,ca_detail_1762513065927-pop50
2000,14,11,WALD,0.558,1.75,1.456,200.0,658,1,same,ca_detail_1762512270723
2000,26,26,SUMPF,2.0,1.202,1.349,200.0,406,1,population,ca_detail_1762513249309-pop1250
2000,45,40,GRASLAND,1.568,1.292,0.5,200.0,130,1,seed,ca_detail_1762512446573
2000,0,3,WALD,2.0,2.0,2.0,170.33,79,1,seed,ca_detail_1762512624538
2000,31,22,TUNDRA,2.0,2.0,2.0,80.2,232,1,same,ca_detail_1762512270723
800,31,17,GEBIRGE,0.842,2.0,1.09,118.25,9,1,steps,ca_detail_1762512767599
2000,49,1,TUNDRA,1.051,2.0,1.959,88.39,458,1,seed,ca_detail_1762512570763
2000,5,0,WÜSTE,1.594,1.858,1.687,124.15,417,1,seed,ca_detail_1762512446573
2000,40,40,TUNDRA,1.347,2.0,2.0,46.71,187,1,seed,ca_detail_1762512598970
400,42,8,GEBIRGE,0.924,2.0,1.074,200.0,305,1,steps,ca_detail_1762512748570
2000,3,22,VULKAN,0.685,2.0,2.0,74.2,3,1,population,ca_detail_1762513304195-pop2500
2000,18,29,OZEAN,0.738,2.0,1.08,200.0,194,1,population,ca_detail_1762513195633-pop625
2000,41,7,GRASLAND,1.516,2.0,1.117,200.0,80,1,seed,ca_detail_1762512598970
2000,15,23,SUMPF,1.309,2.0,1.429,200.0,148,1,population,ca_detail_1762512974066-pop1
2000,22,22,GEBIRGE,0.555,2.0,1.48,200.0,372,1,same,ca_detail_1762512310071
2000,8,17,WALD,1.769,1.598,0.5,200.0,505,1,steps,ca_detail_1762512849242
1200,11,9,SUMPF,0.5,2.0,1.307,200.0,324,1,steps,ca_detail_1762512788880
2000,18,9,SUMPF,1.584,1.474,1.912,157.6,81,1,population,ca_detail_1762513249309-pop1250
2000,8,47,WÜSTE,0.91,2.0,0.968,88.4,795,1,steps,ca_detail_1762512849242
2000,40,24,TUNDRA,1.705,1.624,2.0,13.15,35,1,population,ca_detail_1762513249309-pop1250
2000,2,11,WÜSTE,1.65,1.933,1.511,61.15,10,1,population,ca_detail_1762512974066-pop1
1600,14,8,TUNDRA,0.576,2.0,1.235,139.98,214,1,steps,ca_detail_1762512804294
800,21,23,SUMPF,1.538,1.357,0.983,200.0,227,1,steps,ca_detail_1762512767599
2000,19,19,TUNDRA,2.0,2.0,1.252,13.75,78,1,population,ca_detail_1762513249309-pop1250
2000,25,30,OZEAN,2.0,1.989,2.0,200.0,737,1,population,ca_detail_1762513249309-pop1250
